CreationTime         LastWriteTime         FullName
------------         -------------         --------
5/3/2026 12:11:29 AM 5/2/2026 9:32:38 PM   C:\MGU\desk\library\infographics\math\number-line.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:37 PM   C:\MGU\desk\library\infographics\math\subtraction.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:39 PM   C:\MGU\desk\library\infographics\math\unit-circle.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:45 PM   C:\MGU\desk\library\infographics\math\exponent-rules.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:42 PM   C:\MGU\desk\library\infographics\math\cross-multiplying.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:51 PM   C:\MGU\desk\library\infographics\math\properties-of-algebra.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:57 PM   C:\MGU\desk\library\infographics\math\trigonometric-ratios.png
5/3/2026 12:11:29 AM 5/2/2026 9:32:59 PM   C:\MGU\desk\library\infographics\math\fractions.png
5/3/2026 12:11:29 AM 5/2/2026 9:33:01 PM   C:\MGU\desk\library\infographics\math\variables.png
5/3/2026 12:11:29 AM 5/2/2026 9:33:45 PM   C:\MGU\desk\library\infographics\math\special-product-formulas-2.png
5/3/2026 12:11:29 AM 5/2/2026 9:33:03 PM   C:\MGU\desk\library\infographics\math\pi.png
5/3/2026 12:11:29 AM 5/2/2026 9:33:28 PM   C:\MGU\desk\library\infographics\math\special-product-formulas-1.png
5/3/2026 12:11:29 AM 5/2/2026 9:33:45 PM   C:\MGU\desk\library\infographics\math\factoring-methods.png
5/3/2026 12:11:29 AM 5/2/2026 9:33:45 PM   C:\MGU\desk\library\infographics\math\synthetic-division.png
5/3/2026 12:11:29 AM 5/2/2026 9:34:12 PM   C:\MGU\desk\library\infographics\math\trigonometric-identities.png
5/3/2026 12:11:29 AM 5/2/2026 9:34:19 PM   C:\MGU\desk\library\infographics\math\binomial-formula.png
5/3/2026 12:11:29 AM 5/2/2026 9:34:16 PM   C:\MGU\desk\library\infographics\math\herons-formula.png
5/3/2026 12:11:29 AM 5/2/2026 9:34:14 PM   C:\MGU\desk\library\infographics\math\pythagoras-theorum.png
5/3/2026 12:11:30 AM 5/2/2026 9:34:22 PM   C:\MGU\desk\library\infographics\math\sequences-and-series.png
5/3/2026 12:11:30 AM 5/2/2026 9:34:28 PM   C:\MGU\desk\library\infographics\math\taylor-series.png
5/3/2026 12:11:30 AM 5/2/2026 9:34:25 PM   C:\MGU\desk\library\infographics\math\sigma-notation.png
5/3/2026 12:11:30 AM 5/2/2026 9:43:41 PM   C:\MGU\desk\library\infographics\math\converting-decimals.png
5/3/2026 12:11:30 AM 5/2/2026 9:43:43 PM   C:\MGU\desk\library\infographics\math\the-number-e.png
5/3/2026 12:11:30 AM 5/2/2026 9:45:43 PM   C:\MGU\desk\library\infographics\math\convert-degrees-to-radians.png
5/3/2026 12:11:30 AM 5/2/2026 10:26:01 PM  C:\MGU\desk\library\infographics\math\logarithms.png
5/3/2026 12:11:30 AM 5/2/2026 10:23:36 PM  C:\MGU\desk\library\infographics\math\compositions.png
5/3/2026 12:11:30 AM 5/2/2026 10:18:42 PM  C:\MGU\desk\library\infographics\math\functions.png
5/3/2026 12:11:30 AM 5/2/2026 10:28:13 PM  C:\MGU\desk\library\infographics\math\matrices.png
5/3/2026 12:11:30 AM 5/2/2026 10:37:48 PM  C:\MGU\desk\library\infographics\math\conic-sections.png
5/3/2026 12:11:30 AM 5/2/2026 10:43:55 PM  C:\MGU\desk\library\infographics\math\graphing-basics.png
5/3/2026 12:11:30 AM 5/2/2026 11:00:07 PM  C:\MGU\desk\library\infographics\math\area-formulas.png
5/3/2026 12:11:30 AM 5/2/2026 10:45:47 PM  C:\MGU\desk\library\infographics\math\sine-waves.png
5/3/2026 12:11:30 AM 5/2/2026 11:30:15 PM  C:\MGU\desk\library\infographics\math\polynomials.png
