CreationTime          LastWriteTime         FullName
8/1/2026 3:35:35 PM   8/1/2026 3:35:35 PM   C:\MGU\library\reference\fact-sheets\historical-events\freedom-riders.html
8/1/2026 3:35:54 PM   8/1/2026 3:36:00 PM   C:\MGU\library\reference\fact-sheets\laws-and-legislation\civil-rights-a...
8/1/2026 3:43:17 PM   8/1/2026 3:43:19 PM   C:\MGU\library\reference\fact-sheets\laws-and-legislation\voting-rights-...
8/1/2026 3:46:51 PM   8/1/2026 3:46:52 PM   C:\MGU\library\reference\fact-sheets\legal-cases\dred-scott-v-sandford.html
8/1/2026 3:49:56 PM   8/1/2026 3:49:59 PM   C:\MGU\library\reference\fact-sheets\historical-events\march-on-washingt...
8/1/2026 3:50:23 PM   8/1/2026 3:50:24 PM   C:\MGU\library\reference\fact-sheets\historical-events\selma-to-montgome...
8/1/2026 3:57:52 PM   8/1/2026 3:57:54 PM   C:\MGU\library\reference\fact-sheets\legal-cases\plessy-v-ferguson.html
8/1/2026 3:59:18 PM   8/1/2026 3:59:20 PM   C:\MGU\library\reference\fact-sheets\historical-events\freedom-summer.html
8/1/2026 4:00:21 PM   8/1/2026 4:00:22 PM   C:\MGU\library\reference\fact-sheets\historical-events\little-rock-nine....
8/1/2026 4:02:56 PM   8/1/2026 4:02:57 PM   C:\MGU\library\reference\fact-sheets\legal-cases\strauder-v-west-virgini...
8/1/2026 4:06:28 PM   8/1/2026 4:06:29 PM   C:\MGU\library\reference\fact-sheets\social-movements\civil-rights-movem...
8/1/2026 4:10:37 PM   8/1/2026 4:10:38 PM   C:\MGU\library\reference\fact-sheets\historical-events\red-summer.html
8/1/2026 4:10:46 PM   8/1/2026 4:10:47 PM   C:\MGU\library\reference\fact-sheets\legal-cases\civil-rights-cases-1883...
8/1/2026 4:12:35 PM   8/1/2026 4:12:37 PM   C:\MGU\library\reference\fact-sheets\historical-events\watts-riots.html
8/1/2026 4:16:02 PM   8/1/2026 4:16:05 PM   C:\MGU\library\reference\fact-sheets\legal-cases\united-states-v-cruiksh...
8/1/2026 4:18:12 PM   8/1/2026 4:18:14 PM   C:\MGU\library\reference\fact-sheets\historical-events\los-angeles-upris...
8/1/2026 4:20:18 PM   8/1/2026 4:20:20 PM   C:\MGU\library\reference\fact-sheets\legal-cases\ex-parte-virginia.html
8/1/2026 4:24:30 PM   8/1/2026 4:24:32 PM   C:\MGU\library\reference\fact-sheets\historical-events\black-lives-matte...
8/1/2026 4:37:27 PM   8/1/2026 4:37:31 PM   C:\MGU\library\reference\fact-sheets\social-movements\black-lives-matter...
8/1/2026 4:42:22 PM   8/1/2026 4:42:26 PM   C:\MGU\library\reference\fact-sheets\legal-cases\loving-v-virginia.html
8/1/2026 4:43:07 PM   8/1/2026 4:43:08 PM   C:\MGU\library\reference\fact-sheets\biographies\george-floyd.html
8/1/2026 4:48:20 PM   8/1/2026 4:48:22 PM   C:\MGU\library\reference\fact-sheets\historical-events\murder-of-george-...
8/1/2026 5:42:09 PM   8/1/2026 5:42:19 PM   C:\MGU\library\reference\fact-sheets\biographies\breonna-taylor.html
8/1/2026 5:52:53 PM   8/1/2026 5:52:54 PM   C:\MGU\library\reference\fact-sheets\biographies\trayvon-martin.html
8/1/2026 6:24:51 PM   8/1/2026 6:25:16 PM   C:\MGU\library\reference\fact-sheets\historical-events\ferguson-protests...
8/1/2026 6:24:54 PM   8/1/2026 6:25:14 PM   C:\MGU\library\reference\fact-sheets\biographies\michael-brown.html
8/1/2026 6:25:05 PM   8/1/2026 6:25:12 PM   C:\MGU\library\reference\fact-sheets\concepts-and-terminology\police-bru...
8/1/2026 6:53:17 PM   8/1/2026 6:53:20 PM   C:\MGU\library\reference\fact-sheets\biographies\eric-garner.html
8/1/2026 6:53:41 PM   8/1/2026 6:53:45 PM   C:\MGU\library\reference\fact-sheets\political-movements\defund-the-poli...
8/1/2026 10:22:05 PM  8/1/2026 10:22:14 PM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\chokeholds...
8/1/2026 10:23:32 PM  8/1/2026 10:23:34 PM  C:\MGU\library\reference\fact-sheets\ideologies\police-abolition.html
8/1/2026 10:24:07 PM  8/1/2026 10:24:08 PM  C:\MGU\library\reference\fact-sheets\biographies\freddie-gray.html
8/1/2026 10:30:49 PM  8/1/2026 10:31:59 PM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\no-knock-w...
8/1/2026 10:32:58 PM  8/1/2026 10:38:34 PM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\community-...
8/1/2026 10:33:30 PM  8/1/2026 10:33:31 PM  C:\MGU\library\reference\fact-sheets\biographies\latasha-harlins.html
8/1/2026 10:36:54 PM  8/1/2026 10:36:56 PM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\duty-to-in...
8/1/2026 10:43:53 PM  8/1/2026 10:45:24 PM  C:\MGU\library\reference\fact-sheets\biographies\rodney-king.html
8/1/2026 10:50:13 PM  8/1/2026 10:50:15 PM  C:\MGU\library\reference\fact-sheets\historical-events\lafayette-square-...
8/1/2026 10:57:29 PM  8/1/2026 10:57:30 PM  C:\MGU\library\reference\fact-sheets\historical-events\black-lives-matte...
8/1/2026 10:57:37 PM  8/1/2026 10:57:38 PM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\community-...
